name,rating,average_price,average _delivery_time,location,cuisine,phone,features
Darjeeling Cafe,4.4,100,41,Chennai,Fast Food,+91 963-728-9180,"Parking, Live Music"
Darjeeling Delight Momos,3.9,100,42,Gaya,Multicuisine,+91 792-621-6446,"Takeaway Available, Live Music, Parking"
Darjeeling Food Point,4.2,100,31,Aligarh,Fast Food,+91 999-131-8634,"Live Music, Takeaway Available, Outdoor Seating"
Darjeeling Momo,3.6,200,44,Siliguri,"North Indian, Biryani",+91 803-157-5645,"WiFi, Live Music, Home Delivery"
Darjeeling Momo Co,3.4,100,33,Trivandrum,Multicuisine,+91 825-992-9891,"AC, WiFi"
Darjeeling Momos,3.7,100,26,Rajkot,Multicuisine,+91 958-551-1387,"Live Music, Parking"
Darjeeling Restaurant,3.7,150,29,Vellore,"South Indian, Fast Food, Biryani",+91 997-419-3114,"Home Delivery, AC, Parking"
Darjeeling Snacks Momo's Point,4,150,15,Aligarh,Multicuisine,+91 811-656-1616,"Live Music, AC, Outdoor Seating"
Dark & White Cafe,4.1,100,37,Aligarh,Fast Food,+91 742-408-8357,"Outdoor Seating, Home Delivery, Takeaway Available"
Dark House Cafe,3.8,200,38,Bareilly,Multicuisine,+91 798-467-6681,"Parking, Live Music"
Dark Side Restaurant,4,50,26,Warangal,South Indian,+91 912-666-7135,"Takeaway Available, Outdoor Seating"
Dark Vibes Cafe,4,100,41,Jaipur,Fast Food,+91 773-336-8579,"Outdoor Seating, Takeaway Available, Home Delivery, Live Music"
Darling Bakery,4.2,100,12,Puducherry,Bakery,+91 721-576-6879,"Outdoor Seating, Parking, Takeaway Available"
Darling Bakery,4.2,450,25,Puducherry,Bakery,+91 746-791-4500,"WiFi, Live Music, Parking"
Darling Namma Veedu,4.1,200,21,Vellore,"South Indian, North Indian",+91 828-130-1647,"Live Music, Takeaway Available, Home Delivery, AC"
Darpan Restaurant,3.8,250,40,Patna,North Indian,+91 801-989-1231,"Parking, Live Music, Home Delivery, WiFi"
Darpan Restaurant : Hotel Moon,3.9,200,33,Firozabad,"South Indian, North Indian",+91 846-595-8464,"Takeaway Available, Live Music"
Darpan Restaurant And Catering Services,4,50,52,Nagpur,North Indian,+91 924-403-6520,"Home Delivery, WiFi, Takeaway Available"
Darshan,4.3,200,27,Pune,"North Indian, Fast Food",+91 943-217-4477,"WiFi, Live Music"
Darshan bakers,3.2,50,35,Gonda,Bakery,+91 797-959-3682,"Takeaway Available, WiFi, Live Music"
Darshan Dhaba,3.8,350,32,NCR,North Indian,+91 714-231-3544,"Parking, Live Music, Home Delivery, Outdoor Seating"
Darshan Dosa Corner,4.3,100,25,Bareilly,"South Indian, North Indian, Fast Food",+91 848-698-1599,"Parking, WiFi, Outdoor Seating"
Darshan Hotel,3.2,200,36,Surat,North Indian,+91 740-347-3595,"Takeaway Available, AC"
Darshan Restaurant,4.1,200,37,Surat,"North Indian, Fast Food",+91 977-591-5462,"WiFi, Parking"
Darshana Restaurant,4.1,100,26,Kolkata,South Indian,+91 838-315-7339,"WiFi, AC, Home Delivery, Takeaway Available"
Darshini,4.1,100,35,Pune,South Indian,+91 821-565-2846,"AC, Takeaway Available"
Darshna's Dining,4.1,50,34,Bikaner,"North Indian, Fast Food",+91 797-769-5531,"Parking, Outdoor Seating, AC, Home Delivery"
Daruwala Pav Bhaji,4,350,23,Surat,"North Indian, Street Food",+91 721-540-2079,"Outdoor Seating, Home Delivery"
Darvesh Biryani House,3.8,350,39,Pune,"North Indian, Biryani",+91 932-368-5940,"Home Delivery, Live Music, Takeaway Available"
Das Biryani House,4.1,50,34,Nashik,"North Indian, Biryani",+91 814-512-3255,"Parking, AC"
Das Khaman,4.3,150,12,Ahmedabad,Street Food,+91 703-727-5395,"AC, Home Delivery, Outdoor Seating, Takeaway Available"
Das Pendawala,4.4,250,17,Vadodara,Multicuisine,+91 865-836-2321,"Outdoor Seating, Home Delivery, Parking, WiFi"
Dasaprakash,4.2,150,30,Agra,"South Indian, North Indian",+91 930-328-1883,"AC, Live Music, Parking"
Dasaprakash,4.3,300,21,Jaipur,South Indian,+91 752-397-1026,"WiFi, Home Delivery, Takeaway Available"
Dasaprakash,4.3,300,31,Jamshedpur,"South Indian, North Indian, Fast Food",+91 753-618-6806,"Home Delivery, Parking, Live Music, Outdoor Seating"
Dasaprakash,4.4,200,29,Delhi NCR,"South Indian, North Indian",+91 852-803-4028,"Takeaway Available, AC, WiFi, Outdoor Seating"
Dasaprakash,4.4,250,21,NCR,"South Indian, North Indian",+91 959-452-3828,"Takeaway Available, Outdoor Seating"
Dasaprakash - A South Indian Cafe,3.4,150,32,Agra,"South Indian, North Indian",+91 702-719-4982,"WiFi, AC, Outdoor Seating"
Dash Point,4.3,100,30,Dehradun,Multicuisine,+91 780-254-1623,"WiFi, Takeaway Available, Live Music"
Dashamakan Beef House,3.2,150,32,Chennai,South Indian,+91 959-731-1023,"Outdoor Seating, Live Music"
Dashi Dimsum & Sushi Bar,4.2,100,34,NCR,Multicuisine,+91 803-604-7376,"Outdoor Seating, WiFi, Takeaway Available, AC"
Dashmesh Bakery And Cake House,4,100,21,Jalandhar,Bakery,+91 735-881-8745,"Home Delivery, WiFi"
Dashmesh Bhatura Junction,3.5,100,40,Jalandhar,"North Indian, Street Food",+91 909-910-3810,"AC, Home Delivery, Parking, Live Music"
Dashmesh Punjabi Rasoi,4.4,100,32,Asansol,"South Indian, North Indian",+91 845-128-8167,"AC, WiFi"
Dashmesh Vaishno Dhaba,3.7,150,38,Jalandhar,North Indian,+91 794-358-5530,"WiFi, Home Delivery, Parking"
Dashmesh Veg Point,4.2,100,35,Ludhiana,North Indian,+91 968-155-3011,"Live Music, Home Delivery, WiFi, Takeaway Available"
Dastaan,4.4,150,31,Chandigarh,"North Indian, Biryani",+91 970-249-9733,"Home Delivery, AC"
Dastarkhwan,3.6,100,27,Dhanbad,"North Indian, Biryani",+91 948-420-3836,"Takeaway Available, Live Music, AC, Home Delivery"
Dastarkhwan,3.7,150,16,Allahabad,"North Indian, Biryani",+91 913-273-1753,"Live Music, Parking, Outdoor Seating, Home Delivery"
Dastarkhwan,4.1,100,36,Nagpur,"North Indian, Biryani",+91 910-691-4496,"Takeaway Available, AC"
Dating With Dosa,4.3,150,36,Bikaner,South Indian,+91 839-267-5843,"Live Music, Outdoor Seating"
Datta Bhau Crunchy Vada Pav,3.8,300,25,Ludhiana,Street Food,+91 727-704-1855,"Outdoor Seating, Live Music, Home Delivery, AC"
Datta Krupa Kitchen,4.2,200,45,Mumbai,North Indian,+91 736-304-1278,"Takeaway Available, Live Music, Home Delivery, Outdoor Seating"
Dattaprasad Hotel,4,150,48,Pune,Multicuisine,+91 929-337-5863,"Home Delivery, Parking, Outdoor Seating"
Dau Samosa,4.3,250,23,Jhansi,Street Food,+91 952-911-3623,"Takeaway Available, Outdoor Seating, AC, WiFi"
Dau Snacks,4.3,100,29,Jhansi,Street Food,+91 922-859-7232,"Outdoor Seating, WiFi, Live Music"
Dauji Chatpata,4.1,200,28,Firozabad,"South Indian, North Indian, Fast Food",+91 919-495-6747,"WiFi, Live Music, Takeaway Available"
Daurala Kebab & Curry,3.4,200,32,Meerut,"North Indian, Biryani",+91 967-322-7466,"WiFi, Parking, Live Music"
Davanagere Benne Dose,4.1,350,46,Bangalore,South Indian,+91 793-947-3922,"Takeaway Available, Home Delivery, AC, Parking"
Davangiri Loni Dosa Centre,4.3,100,24,Kolhapur,South Indian,+91 901-397-2584,"Takeaway Available, AC, Live Music"
Dave Mithaiwala,4,100,21,Bhavnagar,Multicuisine,+91 714-588-7245,"AC, Takeaway Available"
David's Cafe & Restaurant,4.2,200,57,Guwahati,Fast Food,+91 726-914-4978,"Home Delivery, Takeaway Available, Parking"
Dawangiri Loni Dosa,3.4,50,21,Sangli,South Indian,+91 930-507-4741,"AC, Live Music, Outdoor Seating"
Dawar Restaurant,3.6,200,33,Indore,North Indian,+91 775-592-2638,"Parking, Takeaway Available"
Dawat,3.4,200,28,Vijayawada,"North Indian, Fast Food, Biryani",+91 880-167-2028,"AC, Outdoor Seating"
Dawat,3.6,150,37,Kanpur,"North Indian, Fast Food",+91 800-451-7697,"WiFi, Live Music, Outdoor Seating, AC"
Dawat,3.8,150,60,Patna,North Indian,+91 907-527-9585,"Outdoor Seating, Live Music, Takeaway Available, AC"
Dawat - E - Khaas,4,200,21,Ludhiana,"South Indian, North Indian",+91 855-890-4156,"WiFi, Takeaway Available, Home Delivery, Live Music"
Dawat - Hotel Puneet International,3.9,150,29,Raipur,"North Indian, Biryani",+91 955-901-9063,"WiFi, Parking, Outdoor Seating"
Dawat Biriyani House,3.5,150,21,Siliguri,"North Indian, Biryani",+91 995-639-8418,"Outdoor Seating, AC"
Dawat Biryani House,3.7,150,23,Guntur,"North Indian, Biryani",+91 981-148-2150,"AC, Takeaway Available, Live Music"
Dawat E Jashn,3.6,100,26,Vijayawada,"North Indian, Biryani",+91 963-515-5378,"Parking, Outdoor Seating, AC, Home Delivery"
Dawat e' Khaas - Hotel Samrat Heavens,3.2,100,30,Meerut,"North Indian, Biryani",+91 798-966-7841,"Takeaway Available, Outdoor Seating"
Dawat- E- Khas,4.1,250,36,Varanasi,"North Indian, Biryani",+91 980-508-7568,"Live Music, Home Delivery"
Dawat E Riyaz,3.8,100,44,Kolkata,"North Indian, Biryani",+91 754-849-3481,"Home Delivery, Live Music, Parking, Outdoor Seating"
Dawat E Yadgaar Biryani House,4,100,30,Jalgaon,North Indian,+91 985-573-3865,"Home Delivery, Parking"
Dawat Food Resort,4.1,150,43,Vadodara,"North Indian, Biryani",+91 705-872-1971,"Live Music, Outdoor Seating"
Dawat Food Truck,3.6,250,35,Raipur,Fast Food,+91 781-985-4362,"WiFi, Live Music"
Dawat- Indian Cuisine,4.1,150,36,Raipur,"South Indian, North Indian",+91 820-732-9044,"Live Music, Outdoor Seating, Home Delivery"
Dawat Restaurant,3.6,100,34,Nagpur,North Indian,+91 794-787-3453,"Outdoor Seating, Home Delivery"
Dawat Restaurant,3.7,200,40,Kolkata,North Indian,+91 796-450-4055,"AC, Parking"
Dawat Restaurant,4.1,100,27,Udaipur,"North Indian, Fast Food, Biryani",+91 901-719-1164,"Parking, AC"
Dawat Swadisht Jashn,4,200,28,Belgaum,"North Indian, Biryani",+91 715-945-4918,"WiFi, Takeaway Available"
Dawat The Treat,3.9,200,39,Guwahati,"North Indian, Fast Food",+91 783-536-9973,"Takeaway Available, Live Music, Home Delivery, AC"
Dawat-ae-south,4,200,30,Gaya,South Indian,+91 818-175-5096,"Parking, AC"
Dawate Punjab Family Restaurant,4.1,100,23,NCR,"North Indian, Biryani",+91 739-420-7309,"Outdoor Seating, Parking, Takeaway Available, Home Delivery"
Dawat-E-Lazeez,4.3,150,51,Varanasi,"North Indian, Biryani",+91 862-999-8466,"Outdoor Seating, Takeaway Available"
Dawn Coffee Shop,3.5,250,48,Coimbatore,Multicuisine,+91 756-924-7165,"AC, Parking, Home Delivery"
Dawn De Cafe,3.9,150,39,NCR,Fast Food,+91 935-300-4850,"WiFi, Live Music, AC, Home Delivery"
Dawood Biriyani,3.6,150,29,Coimbatore,"North Indian, Biryani",+91 854-623-4095,"Home Delivery, Takeaway Available"
Day Night Cafe 24/7,3.3,100,23,Amritsar,"North Indian, Fast Food",+91 855-326-5995,"WiFi, Outdoor Seating, Home Delivery"
Day Night Restaurant,4.3,100,25,Allahabad,Biryani,+91 826-827-2399,"Parking, AC, Outdoor Seating"
Day Night Store,3.5,150,32,Amritsar,Multicuisine,+91 855-447-5746,"Takeaway Available, Home Delivery, WiFi, Live Music"
Day Night Vada Pav & Dabeli,4.1,100,24,Vadodara,"North Indian, Street Food",+91 929-640-7934,"AC, Outdoor Seating"
Day Night Vadapav & Dabeli,4.1,250,27,Vadodara,Street Food,+91 787-342-5518,"Outdoor Seating, Home Delivery, Live Music, Parking"
Day One - The Premium Cake Boulevard,3.9,150,26,Trivandrum,"Fast Food, Bakery",+91 825-165-7954,"Takeaway Available, Home Delivery, Parking"
Day To Day Restaurant,3.6,150,38,Vellore,"North Indian, Fast Food",+91 836-311-5115,"Outdoor Seating, AC, WiFi"
Day To Day Snacks Corner,3.9,150,44,Mumbai,"South Indian, Fast Food",+91 937-932-4392,"Home Delivery, Parking, WiFi, Outdoor Seating"
Daya Nashta & Fastfood,4.1,150,24,Udaipur,"South Indian, Fast Food, Street Food",+91 920-134-7921,"AC, Live Music, Outdoor Seating, WiFi"
Daya Restaurant,4.2,200,26,Udaipur,North Indian,+91 795-876-3854,"Live Music, AC, WiFi"
Daya Restaurant And Dining Hall,4,150,41,Udaipur,North Indian,+91 761-833-3932,"WiFi, AC, Parking"
Dayal Da Dhaba,3.8,150,20,NCR,North Indian,+91 880-284-4049,"Outdoor Seating, Parking"
Dayal Food Villa,3.8,200,37,Aligarh,North Indian,+91 842-472-3456,"Takeaway Available, Home Delivery, WiFi, Parking"
Dayal Petis,4.3,200,12,Vadodara,Street Food,+91 977-939-3340,"Takeaway Available, Live Music"
Dayal South Indian Corner,4,200,50,Kolkata,South Indian,+91 978-460-8822,"WiFi, Outdoor Seating"
Daydreamer Love Your Cup,3.9,100,59,Kolkata,Fast Food,+91 720-682-9140,"WiFi, Outdoor Seating, AC, Takeaway Available"
Dazy Sweets Corner,3.6,50,28,Patna,Bakery,+91 838-756-9381,"Parking, Live Music"
Dazzling Shake Bar,3.6,200,47,Varanasi,Street Food,+91 866-197-5693,"Takeaway Available, Live Music"
DB Chinese,3.8,100,26,Indore,"South Indian, Fast Food",+91 963-341-2578,"Parking, AC"
DB South Indian,4,150,25,Indore,South Indian,+91 847-464-4660,"Live Music, WiFi, Parking"
D'bake,4.4,150,33,Bhubaneswar,Bakery,+91 846-467-2192,"WiFi, Outdoor Seating, Takeaway Available, Parking"
D'Bakers Home,4.1,150,29,Chandigarh,"Fast Food, Bakery",+91 845-900-2819,"Live Music, Parking, AC"
DD Suites Restaurant,3.7,150,35,Agra,North Indian,+91 865-935-4968,"AC, WiFi, Parking, Outdoor Seating"
De Babu Bhai Cloud Kitchen,4.4,150,30,Jodhpur,Multicuisine,+91 723-284-7652,"Parking, Home Delivery, WiFi, Takeaway Available"
De' Blue Door Cafe,4,200,30,Jaipur,"Fast Food, Street Food",+91 995-794-1529,"Live Music, AC, Outdoor Seating"
De Bluefin Seafood Restaurant,3.6,100,34,Puducherry,North Indian,+91 716-363-2634,"Takeaway Available, Home Delivery"
De Brasserie Cafe & Bakery,4.2,150,36,Indore,Bakery,+91 963-738-3003,"Outdoor Seating, Takeaway Available, Live Music"
De Cafe Story,4,200,26,Belgaum,"Fast Food, Street Food",+91 848-418-1883,"Parking, Takeaway Available, WiFi, AC"
De Cafe Studio,3.9,200,32,Hyderabad,Fast Food,+91 817-389-6853,"Takeaway Available, Home Delivery, AC, Live Music"
De Coastal,3.2,200,37,Nashik,Multicuisine,+91 706-425-2467,"Parking, Live Music"
De Delicious Pizza,4.1,150,44,Ludhiana,Fast Food,+91 958-178-8338,"AC, Outdoor Seating"
De Food Professor Kitchen,4,100,23,Guntur,"South Indian, North Indian, Biryani",+91 999-521-8186,"Home Delivery, Outdoor Seating"
De Fried King,4,100,30,Vellore,Fast Food,+91 750-215-8445,"Parking, Live Music, WiFi"
De Globe Cafe,4,100,28,Lucknow,Fast Food,+91 932-195-9668,"Home Delivery, WiFi, Outdoor Seating, Takeaway Available"
De Italian Pizza Bakker's,4.2,150,26,Kota,Multicuisine,+91 829-282-9556,"AC, Parking"
De Khana Khazana,3.6,200,39,Surat,North Indian,+91 945-245-2261,"WiFi, Home Delivery, AC"
De Mithaiwala Babu Bhai,4.4,100,26,Jodhpur,Street Food,+91 912-287-3157,"AC, Home Delivery, Outdoor Seating, Live Music"
De Mom's Kitchen,3.9,200,45,Salem,"South Indian, North Indian, Biryani",+91 878-976-6545,"Parking, Live Music"
De Paris,4.3,150,32,Trivandrum,Multicuisine,+91 970-411-5827,"Home Delivery, WiFi, AC"
De Paris Restaurant,4.1,150,29,Trivandrum,"North Indian, Biryani",+91 717-480-6748,"Home Delivery, Outdoor Seating, AC, Takeaway Available"
De Pizza Co,3,100,43,Allahabad,Multicuisine,+91 865-218-3317,"WiFi, Parking"
De Rollz,4.2,200,31,Ludhiana,Multicuisine,+91 951-180-9951,"Parking, AC, Live Music, Takeaway Available"
De Stress,3.3,300,41,Goa,Fast Food,+91 969-819-5013,"Takeaway Available, WiFi, Parking"
De Thali,3.9,150,30,Allahabad,North Indian,+91 864-699-9566,"WiFi, Takeaway Available"
De Thali,4,150,32,Jaipur,"North Indian, Biryani",+91 963-871-1939,"Live Music, Takeaway Available, Parking"
De Thali,4.1,150,45,Varanasi,"North Indian, Fast Food",+91 973-195-8321,"Outdoor Seating, Takeaway Available"
De Thali - Desi Meals & More,4.2,300,40,Dehradun,"North Indian, Biryani",+91 923-147-9512,"Home Delivery, Live Music, WiFi"
Dea Thali Mess & Tiffin Center,3.1,100,32,Kota,"North Indian, Fast Food",+91 934-203-4171,"Parking, Outdoor Seating, Home Delivery"
Deals On Meals,4.3,150,39,Surat,North Indian,+91 764-650-9943,"Live Music, Outdoor Seating, AC"
Dear Biryani,3.5,150,41,Patna,"North Indian, Biryani",+91 908-769-3469,"Takeaway Available, Home Delivery, WiFi"
Dear Diary Pizza,2.7,400,35,Jaipur,Fast Food,+91 907-775-2273,"Takeaway Available, Live Music, Home Delivery, Outdoor Seating"
Dear Momo,4,150,30,Jalgaon,Fast Food,+91 883-803-3554,"Live Music, WiFi"
Dear Shoppy,4.1,100,42,Agra,Fast Food,+91 943-271-8590,"Parking, Outdoor Seating, AC"
Debbie's Kitchen,4,100,27,Ludhiana,"North Indian, Street Food",+91 813-926-1607,"WiFi, AC, Live Music"
Deccan Bakers and Sweet House,4.1,200,36,Hyderabad,"Street Food, Bakery",+91 928-390-1274,"Takeaway Available, Home Delivery, WiFi, AC"
Deccan Bakery And Sweet,4.2,150,35,Hyderabad,"Fast Food, Bakery",+91 773-754-4886,"WiFi, Takeaway Available"
Deccan Biryani,3.3,200,26,Vijayawada,Biryani,+91 882-643-9845,"WiFi, Home Delivery, AC"
Deccan Biryani Limited,2.9,100,26,Guntur,Biryani,+91 730-363-5792,"Takeaway Available, AC, Home Delivery, Outdoor Seating"
Deccan Elite,4.2,200,44,Hyderabad,"North Indian, Biryani",+91 862-888-8984,"Home Delivery, AC, Outdoor Seating"
Deccan Fried Chicken,4.3,100,25,Visakhapatnam,Fast Food,+91 824-431-2397,"Parking, Outdoor Seating, Home Delivery, Takeaway Available"
Deccan Pizza,3.3,200,41,Visakhapatnam,Fast Food,+91 971-949-1602,"WiFi, Live Music, AC"
Decked Up By Garden Cafe,4,150,40,Jaipur,"South Indian, North Indian",+91 944-410-8566,"Home Delivery, WiFi, Outdoor Seating"
Dee Lounge,3,100,31,Dehradun,"North Indian, Biryani",+91 757-827-5496,"Home Delivery, AC, Live Music, Takeaway Available"
Dee Singh's Kitchen,4.1,150,26,Chandigarh,"North Indian, Biryani",+91 957-887-6936,"Home Delivery, Takeaway Available"
Deebee's Restaurant - Le Amor,4.3,100,18,Kota,North Indian,+91 737-557-5298,"Live Music, Parking"
Deekshitha Fast Foods,3.5,150,32,Vijayawada,Biryani,+91 977-800-4634,"Live Music, Takeaway Available"
Deel Sons Bar N Restaurant,4.2,150,43,Goa,"North Indian, Biryani",+91 879-773-7858,"AC, Parking, Live Music"
Deen Biriyani,3.4,300,27,Trichy,Biryani,+91 981-672-4533,"Takeaway Available, Live Music, Parking, WiFi"
Deen Biriyani Stall,4.1,200,29,Madurai,"South Indian, Biryani",+91 781-892-7363,"AC, Live Music"
Deen Restaurant,4.2,200,29,Madurai,"South Indian, Biryani",+91 766-756-8381,"Outdoor Seating, Takeaway Available"
Deena Chat Bhandar,4.3,150,59,Varanasi,Street Food,+91 880-956-8137,"WiFi, Takeaway Available, Parking"
Deenanath Lassi,4.3,50,19,Bareilly,Multicuisine,+91 947-608-8207,"AC, Parking, Outdoor Seating, WiFi"
Deenanath Restaurant,4,150,18,Bareilly,"North Indian, Fast Food",+91 817-994-6995,"Outdoor Seating, Live Music, Takeaway Available"
Deep Bakery,3.6,150,39,Amritsar,Bakery,+91 820-308-7885,"Home Delivery, Outdoor Seating, WiFi"
Deep Chinese Momos,3.4,200,44,Ludhiana,Fast Food,+91 837-782-8312,"Takeaway Available, AC, Parking, WiFi"
Deep Corner,4.2,100,39,Agra,Bakery,+91 851-549-5516,"Live Music, WiFi"
Deep Punjabi Hotel,4.1,250,26,Vijayawada,"North Indian, Biryani",+91 903-682-3810,"Live Music, WiFi"
Deep’s Restaurant,3.6,150,31,Surat,"North Indian, Biryani",+91 845-734-4204,"Home Delivery, Parking, WiFi, Takeaway Available"
Deepak Bakers,4,550,29,NCR,"Fast Food, Bakery",+91 948-710-9613,"Parking, WiFi, AC"
Deepak Eat Fresh,4.4,150,33,Bhopal,"Fast Food, Bakery",+91 978-463-3246,"Outdoor Seating, Live Music, WiFi"
Deepak Juice & Fast Food,4.5,50,14,Jamnagar,Multicuisine,+91 817-765-2732,"Takeaway Available, Home Delivery"
Deepak Special Tea House,4.4,50,21,Pune,Street Food,+91 966-166-1851,"Takeaway Available, WiFi"
Deepak Sweet House,4.1,200,34,Varanasi,Street Food,+91 846-873-7076,"Live Music, Takeaway Available"
Deepak's Fast Food,3.8,350,22,Aligarh,"South Indian, North Indian, Fast Food, Street Food, Bakery",+91 973-581-1539,"Parking, AC"
Deepa's Mess,4.4,100,40,Pune,North Indian,+91 922-249-6811,"AC, Outdoor Seating, Parking, Live Music"
Deepee,4.2,150,29,Agra,"South Indian, Fast Food",+91 953-443-7974,"Outdoor Seating, Live Music, Home Delivery"
Deeprupa Restaurant,4.1,150,25,Raipur,South Indian,+91 805-404-6818,"WiFi, Live Music, Takeaway Available"
Deep's Cake Shop,3.8,100,13,Solapur,Bakery,+91 813-614-3017,"Parking, WiFi, Outdoor Seating"
Dee's Cookhaus,3.8,550,34,Coimbatore,Fast Food,+91 983-838-9775,"Parking, Live Music, Takeaway Available, AC"
Defence Bakery,4.4,300,31,NCR,Bakery,+91 971-862-9823,"Live Music, Outdoor Seating"
Degchi-By Mezbaan,4.1,14,27,Bareilly,"North Indian, Biryani",+91 860-636-3578,"Outdoor Seating, Takeaway Available, Live Music, WiFi"
Degchi's Biryani Cafe,3.7,150,44,Pune,"North Indian, Biryani",+91 793-982-8271,"Takeaway Available, Parking, WiFi"
Dehaat City,3.8,150,30,Agra,"North Indian, Fast Food, Street Food",+91 873-504-2790,"WiFi, Live Music, AC, Parking"
Dehaati,4.2,100,23,Kolhapur,Multicuisine,+91 974-285-7296,"Home Delivery, Live Music, Outdoor Seating, Takeaway Available"
Dehat,4.2,100,39,Kolkata,North Indian,+91 838-110-2956,"AC, Parking"
Dehati Restaurant,3.4,250,34,Lucknow,North Indian,+91 857-952-6627,"Takeaway Available, Live Music"
Dehradun Social,4.1,200,48,Dehradun,"North Indian, Biryani",+91 742-753-7416,"WiFi, AC, Home Delivery, Outdoor Seating"
Deja Bowl,4.1,150,50,Guwahati,"North Indian, Fast Food",+91 746-273-3204,"Live Music, WiFi"
Deja Bowl,4.3,200,40,Kolkata,North Indian,+91 872-670-7826,"Parking, WiFi, Home Delivery, Outdoor Seating"
Deja Vu Lounge,3.4,250,36,Bareilly,Multicuisine,+91 736-731-5928,"Parking, Takeaway Available"
Deja Vu Restaurant,3.9,100,28,Salem,Multicuisine,+91 797-571-3312,"Takeaway Available, Parking"
Dekevas Express,4.3,100,31,Siliguri,Multicuisine,+91 841-610-3862,"Parking, Home Delivery, WiFi"
Delectable Delights - Sayaji Hotel,4,300,49,Indore,North Indian,+91 705-210-1584,"Live Music, Takeaway Available"
Delhi 007,3.7,150,36,Ludhiana,North Indian,+91 966-581-6792,"Outdoor Seating, Takeaway Available, WiFi, Live Music"
Delhi 6,3.7,150,39,Ludhiana,"North Indian, Fast Food",+91 773-875-8226,"Live Music, AC"
Delhi 6,3.9,250,30,Bhopal,"North Indian, Street Food",+91 724-696-4898,"Takeaway Available, Outdoor Seating"
Delhi 6,4.1,500,33,Agra,"North Indian, Street Food",+91 858-982-3061,"Takeaway Available, Live Music, Outdoor Seating, WiFi"
Delhi 6,4.2,50,61,Patna,"North Indian, Fast Food",+91 836-630-4517,"WiFi, Live Music"
Delhi ६ - By Jain Veg Corner,3.6,200,22,Dehradun,North Indian,+91 761-734-7372,"AC, Takeaway Available"
Delhi 6 Chaat Wala,3.5,100,34,Vadodara,"Fast Food, Street Food",+91 704-334-6533,"Live Music, Parking, WiFi"
Delhi 6 Pure Veg,3.7,100,21,Gaya,"North Indian, Biryani",+91 727-328-3264,"Home Delivery, Takeaway Available, Parking"
Delhi 6 Zaika,3.9,250,40,Haridwar,"North Indian, Fast Food",+91 856-368-6930,"Parking, Home Delivery, AC"
Delhi Biryani Corner,4,100,21,NCR,"North Indian, Biryani",+91 941-968-3627,"Parking, WiFi"
Delhi Biryani Hub,3.7,200,17,Allahabad,"North Indian, Biryani",+91 943-714-6144,"Home Delivery, AC"
Delhi Biryani Hut,3.7,150,28,Guwahati,"North Indian, Biryani",+91 787-361-8140,"WiFi, Takeaway Available, Live Music, Parking"
Delhi Biryani Hut,3.8,150,32,NCR,"North Indian, Biryani",+91 740-411-9578,"Outdoor Seating, WiFi, Home Delivery"
Delhi Biryani Hut,3.8,200,36,Delhi NCR,"North Indian, Biryani",+91 821-596-9610,"WiFi, Outdoor Seating, Takeaway Available, Parking"
Delhi Cacies,3.2,600,24,NCR,"North Indian, Biryani",+91 902-961-7713,"Parking, WiFi, Live Music"
Delhi Chaap Corner,4.1,150,28,Nagpur,North Indian,+91 729-658-9185,"AC, Home Delivery, Takeaway Available"
Delhi Chaap Express,4,100,28,Solapur,"North Indian, Fast Food",+91 832-310-6558,"Live Music, Parking, WiFi"
Delhi Chaap Wala,4,200,34,Jodhpur,North Indian,+91 810-964-1937,"Parking, AC, Live Music"
Delhi Chaap Wale,3.9,200,21,Ludhiana,"North Indian, Fast Food",+91 769-121-3650,"Live Music, Home Delivery, WiFi, Parking"
Delhi Chaat,4.2,100,29,Vadodara,"Fast Food, Street Food",+91 915-541-2084,"Outdoor Seating, Takeaway Available, WiFi, Home Delivery"
Delhi Chat,3.1,50,20,Moradabad,North Indian,+91 734-319-2509,"Home Delivery, WiFi, Takeaway Available, Live Music"
Delhi Chat Bhandar,3.5,150,28,Moradabad,Fast Food,+91 949-945-6820,"Home Delivery, Parking, Takeaway Available"
Delhi Chat House,4,100,29,Hyderabad,Street Food,+91 877-544-1516,"Outdoor Seating, Home Delivery, AC, Live Music"
Delhi Chatka,4.2,100,28,Jodhpur,"North Indian, Fast Food",+91 755-806-6613,"Outdoor Seating, AC, WiFi, Home Delivery"
Delhi Chhatwale,3.9,350,28,Ahmedabad,Street Food,+91 723-932-1425,"Live Music, AC, Takeaway Available, Home Delivery"
Delhi Chicken Point,4,100,34,Dehradun,North Indian,+91 867-293-4350,"WiFi, Live Music"
Delhi Chole Bhature,3.9,150,21,Meerut,North Indian,+91 956-692-4937,"Live Music, Parking"
Delhi Chole Kulche,3.9,100,27,Meerut,"North Indian, Street Food",+91 784-240-8629,"Home Delivery, AC, WiFi"
Delhi Darbar,3.3,50,33,Darbhanga,North Indian,+91 976-122-2293,"Live Music, WiFi, Takeaway Available, Home Delivery"
Delhi Darbar,3.9,100,32,Indore,North Indian,+91 980-333-1031,"Home Delivery, Parking, Live Music, WiFi"
Delhi Darbar,4.1,100,25,Dehradun,North Indian,+91 773-968-4196,"Takeaway Available, Outdoor Seating"
Delhi Darbar,4.1,150,13,Jamshedpur,"North Indian, Biryani",+91 836-161-7050,"Outdoor Seating, Live Music, Takeaway Available, WiFi"
